nom,lat,lon,comarca,altitud,temperatura,temp_max,temp_min,humitat,precipitacio,vent,data
Falset,41.15374,0.81952,Priorat,358,29.5,29.5,16.8,36.0,0.0,1.7,2026-05-31T11:00:00.000
Fogars de la Selva,41.73892,2.69438,Selva,42,27.9,27.9,13.2,45.0,0.0,,2026-05-31T11:00:00.000
Font-rubí,41.4329,1.62386,Alt Penedès,414,28.0,28.2,18.9,44.0,0.0,4.7,2026-05-31T11:00:00.000
Fornells de la Selva,41.91461,2.82071,Gironès,97,29.2,29.2,11.7,41.0,0.0,,2026-05-31T11:00:00.000
Gandesa,41.06564,0.43006,Terra Alta,351,28.1,28.1,17.6,40.0,0.0,,2026-05-31T11:00:00.000
Gimenells,41.65825,0.3932,Segrià,260,28.6,28.6,15.5,40.0,0.0,,2026-05-31T11:00:00.000
Girona,41.98215,2.80552,Gironès,72,30.1,30.1,13.3,38.0,0.0,2.5,2026-05-31T11:00:00.000
Gisclareny,42.26478,1.76216,Berguedà,1388,23.5,24.8,13.4,54.0,0.0,,2026-05-31T11:00:00.000
Golmés,41.63641,0.92445,Pla d'Urgell,260,28.0,28.0,15.2,43.0,0.0,,2026-05-31T11:00:00.000
Granollers,41.60929,2.29847,Vallès Oriental,211,28.7,28.9,18.5,38.0,0.0,,2026-05-31T11:00:00.000
Guardiola de Berguedà,42.23414,1.87485,Berguedà,787,27.2,27.2,11.0,49.0,0.0,1.5,2026-05-31T11:00:00.000
Guixers - Valls,42.13595,1.67297,Solsonès,845,27.1,27.1,9.8,44.0,0.0,,2026-05-31T11:00:00.000
Horta de Sant Joan,40.95134,0.30563,Terra Alta,517,27.8,27.8,17.5,38.0,0.0,1.5,2026-05-31T11:00:00.000
Illa de Buda,40.70717,0.83447,Montsià,1,26.6,28.1,20.8,71.0,0.0,3.7,2026-05-31T11:00:00.000
Lac Redon (2.245 m),42.63836,0.7789,Val d'Aran,2245,14.8,14.8,8.4,45.0,0.0,2.8,2026-05-31T11:00:00.000
Lladurs,42.08745,1.42792,Solsonès,786,27.7,27.7,15.6,47.0,0.0,,2026-05-31T11:00:00.000
Lleida - la Femosa,41.58449,0.64217,Segrià,170,28.9,28.9,15.8,42.0,0.0,2.6,2026-05-31T11:00:00.000
Maials,41.35741,0.4809,Segrià,350,27.7,27.7,15.5,40.0,0.0,,2026-05-31T11:00:00.000
Malgrat de Mar,41.64706,2.75659,Maresme,3,25.8,25.8,16.4,71.0,0.0,2.6,2026-05-31T11:00:00.000
Malniu (2.229 m),42.46605,1.7785,Cerdanya,2229,17.3,17.3,9.4,44.0,0.0,,2026-05-31T11:00:00.000
Margalef,41.28522,0.75387,Priorat,404,28.2,28.2,15.4,36.0,0.0,3.9,2026-05-31T11:00:00.000
Mas de Barberans,40.71822,0.39986,Montsià,241,30.1,30.1,18.5,40.0,0.0,1.1,2026-05-31T11:00:00.000
Massoteres,41.79405,1.30575,Segarra,512,29.0,29.0,13.2,35.0,0.0,3.1,2026-05-31T11:00:00.000
Mataró,41.54518,2.43322,Maresme,88,26.9,26.9,20.1,52.0,0.0,2.3,2026-05-31T11:00:00.000
Miami Platja,41.02066,0.9345,Baix Camp,43,27.5,28.0,18.8,62.0,0.0,3.6,2026-05-31T11:00:00.000
Mollerussa,41.61817,0.87182,Pla d'Urgell,246,28.7,28.7,14.3,40.0,0.0,,2026-05-31T11:00:00.000
Molló - Fabert,42.37718,2.41452,Ripollès,1405,22.1,22.1,11.3,63.0,0.0,2.6,2026-05-31T11:00:00.000
Montesquiu,42.11479,2.21481,Osona,683,27.8,27.8,14.1,44.0,0.0,,2026-05-31T11:00:00.000
Montserrat - Sant Dimes,41.59539,1.8375,Bages,918,24.1,24.6,19.8,45.0,0.0,,2026-05-31T11:00:00.000
Muntanyola,41.8781,2.17875,Osona,816,27.2,27.3,17.0,41.0,0.0,2.7,2026-05-31T11:00:00.000
Navata,42.22792,2.86242,Alt Empordà,152,29.1,29.1,16.5,49.0,0.0,3.3,2026-05-31T11:00:00.000
Nulles,41.25095,1.29863,Alt Camp,239,29.8,29.9,15.6,43.0,0.0,,2026-05-31T11:00:00.000
Núria (1.971 m),42.39848,2.15517,Ripollès,1971,16.4,17.2,4.7,74.0,0.0,2.5,2026-05-31T11:00:00.000
Oliana,42.07683,1.31489,Alt Urgell,491,29.0,29.0,17.8,40.0,0.0,,2026-05-31T11:00:00.000
Oliola,41.87694,1.1541,Noguera,444,28.6,28.6,14.3,42.0,0.0,,2026-05-31T11:00:00.000
Olot,42.18811,2.47094,Garrotxa,435,28.5,28.5,13.5,53.0,0.0,2.6,2026-05-31T11:00:00.000
Organyà,42.21622,1.33133,Alt Urgell,568,30.0,30.0,14.8,45.0,0.0,2.9,2026-05-31T11:00:00.000
Orís,42.07397,2.20865,Osona,627,28.1,28.1,14.8,38.0,0.0,1.9,2026-05-31T11:00:00.000
Os de Balaguer - el Monestir d'Avellanes,41.87912,0.76103,Noguera,577,28.4,28.4,14.7,44.0,0.0,,2026-05-31T11:00:00.000
PN del Garraf - el Rascler,41.28833,1.90773,Baix Llobregat,573,25.9,25.9,21.4,56.0,0.0,,2026-05-31T11:00:00.000
PN dels Ports,40.79705,0.31822,Baix Ebre,1056,26.2,26.2,14.1,48.0,0.0,1.3,2026-05-31T11:00:00.000
Palafrugell,41.90694,3.16073,Baix Empordà,35,26.1,26.1,13.0,68.0,0.0,4.5,2026-05-31T11:00:00.000
Pantà de Darnius - Boadella,42.34214,2.83425,Alt Empordà,159,29.4,29.4,17.9,47.0,0.0,2.2,2026-05-31T11:00:00.000
Pantà de Riba-roja,41.2441,0.4327,Ribera d'Ebre,77,28.0,28.0,19.8,40.0,0.0,,2026-05-31T11:00:00.000
Pantà de Siurana,41.2508,0.91063,Priorat,503,32.6,32.6,15.9,32.0,0.0,3.2,2026-05-31T11:00:00.000
